name,geo3x3,category,description,model,URL
秋吉 瓜生店,E913849889798316,飲食,やきとりの名門,,https://www.akiyoshi.co.jp/m/shop/shop_details/fukui/uryu.html
秋吉 鯖江店,E913873234945813,飲食,やきとりの名門,,https://www.akiyoshi.co.jp/m/shop/shop_details/fukui/sabae.html
ヨーロッパ軒 神明分店,E913873255322863,飲食,福井に来たらソースカツ丼！,model/paken-katsudon.glb,http://yo-roppaken.gourmet.coocan.jp/sub3.htm
惣,E913873234757366,飲食,ダイニングバー,,https://www.instagram.com/so_sabaeekimae/
シャプラの2階,E913873234773978,飲食,本格タイ料理,,https://www.instagram.com/shapla_2f/
天喰家,E913873226998347,飲食,へしこのおにぎりオススメ！,,https://www.onfuku.com/shop/1340/
