name,geo3x3,category,description,model,URL
マクドナルド鯖江小黒店,E913873228682521,ファストフード,,./model/ps-potato.glb,https://map.mcdonalds.co.jp/map/18525
モスバーガー鯖江店,E913873234985688,ファストフード,,,https://www.mos.jp/shop/detail/?shop_cd=04424
