name,geo3x3,category,description,model,URL
ファミマ 鯖江宮前二丁目店,E913873231732349,コンビニ,,,https://www.family.co.jp/
ローソン 鯖江宮前,E913873234133482,コンビニ,サンドーム福井最寄り,,https://www.lawson.co.jp/
ローソン 鯖江インター,E913873238495479,コンビニ,,,https://www.lawson.co.jp/
セブン-イレブン キヨスクＪＲ鯖江駅店,E913873234791146,コンビニ,営業時間 朝6:40〜夜20:00,,https://www.sej.co.jp/
セブン-イレブン 東鯖江2丁目店,E913873237386969,コンビニ,,,https://www.sej.co.jp/
セブン-イレブン 鯖江インター店,E913873238493456,コンビニ,,,https://www.sej.co.jp/
