消火栓名,消火栓名(英語),消火栓分類,消防団,管理番号,都道府県名,市区町村名,行政区名,住所,対象範囲の直径(m),配水管口径(mm),貯水量(t),緯度,経度,分離器（有、無）,標準地域コード
消火栓,,消火栓,鯖江第1分団,40,福井県,鯖江市,,西山町14-3,120,100,,35.9570921167,136.1853151333,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,41,福井県,鯖江市,,西山町13－22,120,100,,35.9563342083,136.1850225861,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,42,福井県,鯖江市,,西山町13-1,120,100,,35.9560988611,136.1838590556,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,43,福井県,鯖江市,,西山町7-19,120,75,,35.9562255944,136.1819032,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,44,福井県,鯖江市,,西山町9-7,120,100,,35.9558483194,136.1826644611,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,45,福井県,鯖江市,,西山町7-6,120,75,,35.9557001028,136.1816846111,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,46,福井県,鯖江市,,西山町8-5,120,75,,35.9550869917,136.1823059806,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,47,福井県,鯖江市,,西山町11-4,120,100,,35.9552823694,136.1834452278,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,48,福井県,鯖江市,,西山町2-14,120,150,,35.9550985778,136.1843360639,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,49,福井県,鯖江市,,小黒町5-8,120,75,,35.9546044167,136.1817237806,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,50,福井県,鯖江市,,旭町4丁目7-24-3,120,75,,35.9497381611,136.1873339056,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,51,福井県,鯖江市,,西山町2-1,120,150,,35.9544811,136.1839202611,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,52,福井県,鯖江市,,長泉寺町2丁目3-22,120,300,,35.9557849167,136.1869137167,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,53,福井県,鯖江市,,長泉寺町2丁目3-11,120,300,,35.9547316583,136.1867351972,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,54,福井県,鯖江市,,長泉寺町2丁目4-28,120,300,,35.9538301667,136.1869116556,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,55,福井県,鯖江市,,長泉寺町2丁目2-9,120,100,,35.953184675,136.18782455,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,56,福井県,鯖江市,,長泉寺町1丁目2-26,120,300,,35.9528031444,136.1868450556,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,57,福井県,鯖江市,,長泉寺町2丁目5-1,120,100,,35.9539120139,136.1857389139,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,58,福井県,鯖江市,,長泉寺町1丁目8-32,120,300,,35.9521788833,136.1866287611,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,59,福井県,鯖江市,,長泉寺町1丁目8-5,120,75,,35.9520806361,136.1856385278,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,60,福井県,鯖江市,,長泉寺町1丁目10-15,120,75,,35.9525655444,136.18398965,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,61,福井県,鯖江市,,長泉寺町1丁目1,120,75,,35.9513869028,136.1884896167,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,62,福井県,鯖江市,,長泉寺町2丁目1-22-5,120,75,,35.9541050472,136.1886604583,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,63,福井県,鯖江市,,旭町4丁目7-17,120,50,,35.95026575,136.1874694917,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,64,福井県,鯖江市,,長泉寺町1丁目7-24,100,300,,35.9505737278,136.1859530417,無,http://statdb.nstac.go.jp/lod/sac/C18207
